Group,Links
Group 1,https://kennesawga.justfoia.com/
Group 2,https://southfultonga.govqa.us/WEBAPP/_rs/(S(gcgcuzwpqkv01ouzof
Group 3,"https://forsythcountyga.justfoia.com/Forms/Launch/d705cbd6-1396-49b7-939e-8d86c5a87deb, https://forsythcountyga.justfoia.com/Forms/Launch/d705cbd6-1396-49b7-939e-8d86c5a87, https://conyersga.justfoia.com/Forms/Launch/d705cbd6-1396-49b7-939e-8d86c5a87deb, https://fairburnga.justfoia.com/Forms/Launch/d705cbd6-1396-49b7-939e-8d86c5a87deb, https://acworthga.justfoia.com/Forms/Launch/d705cbd6-1396-49b7-939e-8d86c5a87deb, https://hapevillega.justfoia.com/Forms/Launch/d705cbd6-1396-49b7-939e-8d86c5a87d, https://fairburnga.justfoia.com/Forms/Launch/d705cbd6-1396-49b7-939e-8d86c5a87de, https://woodstockga.justfoia.com/Forms/Launch/d705cbd6-1396-49b7-939e-8d86c5a87deb, https://eastpointga.justfoia.com/Forms/Launch/d705cbd6-1396-49b7-939e-8d86c5a87d, https://tuckerga.justfoia.com/Forms/Launch/d705cbd6-1396-49b7-939e-8d86c5a87deb, https://austellga.justfoia.com/Forms/Launch/d705cbd6-1396-49b7-939e-8d86c5a87deb, https://cantonga.justfoia.com/Forms/Launch/d705cbd6-1396-49b7-939e-8d86c5a87deb, https://tyronega.justfoia.com/Forms/Launch/d705cbd6-1396-49b7-939e-8d86c5a87deb, https://stockbridgega.justfoia.com/Forms/Launch/d705cbd6-1396-49b7-939e-8d86c5a87deb, https://roswellga.justfoia.com/Forms/Launch/d705cbd6-1396-49b7-939e-8d86c5a87deb, https://collegeparkga.justfoia.com/Forms/Launch/d705cbd6-1396-49b7-939e-8d86c5a87deb, https://doravillega.justfoia.com/Forms/Launch/d705cbd6-1396-49b7-939e-8d86c5a87de, https://albanyga.justfoia.com/Forms/Launch/d705cbd6-1396-49b7-939e-8d86c5a87deb, https://maconbibbcountyga.justfoia.com/Forms/Launch/d705cbd6-1396-49b7-939e-8d86c5a87d, https://powderspringsga.justfoia.com/Forms/Launch/d705cbd6-1396-49b7-939e-8d86c5a87deb, https://spaldingcountyga.justfoia.com/Forms/Launch/d705cbd6-1396-49b7-939e-8d86c5a87deb"
Group 4,https://www.accgov.com/FormCenter/18/769
Group 5,"https://cityofmorrowga.nextrequest.com/requests/new, https://cityofaugustaga.nextrequest.com/requests/new, https://cityofclarkstonga.nextrequest.com/requests/new"
Group 6,"https://woodstockga.justfoia.com/Forms/Launch/d705cbd6, https://eastpointga.justfoia.com/Forms/Launch/d705cbd6, https://riverdalega.justfoia.com/Forms/Launch/d705cbd6, https://cantonga.justfoia.com/Forms/Launch/d705cbd6, https://acworthga.justfoia.com/Forms/Launch/d705cbd6, https://austellga.justfoia.com/Forms/Launch/d705cbd6"
Group 7,https://fultoncountyga.mycusthelp.com/WEBAPP/_rs/(S(5cmqh40by3s2dqpbba53d10l))/Reques
Group 8,https://henrycounty-services.app.transform.civicplus.com/forms/34175
Group 9,"https://cityofcovington.org/corecode/uploads/document6/uploaded_pdfs/corecode/PZ_Open%20Rec, https://cityofcovington.org/corecode/uploads/document6/uploaded_pdfs/corecode/City_Open%20Re"
Group 10,https://smyrnaga.justfoia.com/Forms/Launch/fd208f47-7557-4edf-9478-723c87ba6b30
