Group,Links
Group 1,"https://maconbibbcountyga.justfoia.com/Forms/Launch/d705cbd6-1396-49b7-939e-8d86c5a87d, https://cantonga.justfoia.com/Forms/Launch/d705cbd6-1396-49b7-939e-8d86c5a87deb, https://woodstockga.justfoia.com/Forms/Launch/d705cbd6-1396-49b7-939e-8d86c5a87deb, https://austellga.justfoia.com/Forms/Launch/d705cbd6-1396-49b7-939e-8d86c5a87deb, https://acworthga.justfoia.com/Forms/Launch/d705cbd6-1396-49b7-939e-8d86c5a87deb, https://kennesawga.justfoia.com/Forms/Launch/a3570e65-d44d-43d3-a822-d38e2fc1c3d3, https://smyrnaga.justfoia.com/Forms/Launch/fd208f47-7557-4edf-9478-723c87ba6b30, https://powderspringsga.justfoia.com/Forms/Launch/d705cbd6-1396-49b7-939e-8d86c5a87deb, https://tuckerga.justfoia.com/Forms/Launch/d705cbd6-1396-49b7-939e-8d86c5a87deb, https://doravillega.justfoia.com/Forms/Launch/d705cbd6-1396-49b7-939e-8d86c5a87de, https://albanyga.justfoia.com/Forms/Launch/d705cbd6-1396-49b7-939e-8d86c5a87deb, https://tyronega.justfoia.com/Forms/Launch/d705cbd6-1396-49b7-939e-8d86c5a87deb, https://forsythcountyga.justfoia.com/Forms/Launch/d705cbd6-1396-49b7-939e-8d86c5a87, https://sandyspringsga.justfoia.com/Forms/Launch/ab66f36f-7bcb-46ad-98c7-8e6a4dc7, https://eastpointga.justfoia.com/Forms/Launch/d705cbd6-1396-49b7-939e-8d86c5a87d, https://fairburnga.justfoia.com/Forms/Launch/d705cbd6-1396-49b7-939e-8d86c5a87de, https://hapevillega.justfoia.com/Forms/Launch/d705cbd6-1396-49b7-939e-8d86c5a87d, https://collegeparkga.justfoia.com/Forms/Launch/d705cbd6-1396-49b7-939e-8d86c5a87deb, https://stockbridgega.justfoia.com/Forms/Launch/d705cbd6-1396-49b7-939e-8d86c5a87deb, https://conyersga.justfoia.com/Forms/Launch/d705cbd6-1396-49b7-939e-8d86c5a87deb, https://spaldingcountyga.justfoia.com/Forms/Launch/d705cbd6-1396-49b7-939e-8d86c5a87deb"
Group 2,"https://cherokeecountyga.nextrequest.com/requests/new, https://cityofmorrowga.nextrequest.com/requests/new, https://cityofstonecrestga.nextrequest.com/, https://cityofclarkstonga.nextrequest.com/requests/new, https://peachtreecitygapolice.nextrequest.com/requests/new, https://cityofaugustaga.nextrequest.com/requests/new"
Group 3,"https://riverdalega.justfoia.com/publicportal/home/newrequest, https://forestparkga.justfoia.com/publicportal/home/newrequest"
Group 4,https://cityoflovejoy.typeform.com/to/gw5qaJ?typeform-source=cityoflovejoy.com
Group 5,"https://cobbcountyga.govqa.us/WEBAPP/_rs/(S(kuxusrpwlelrfnktjwxlxhsd))/SupportHome.aspx, https://southfultonga.govqa.us/WEBAPP/_rs/(S(gcgcuzwpqkv01ouzof"
Group 6,https://avondaleestates-open-records.app.transform.civicplus.com/forms/34577
Group 7,"https://douglasvillega.mycusthelp.com/WEBAPP/_rs/(S(sfoxoahv3zfwna42hhyegmn3))/, https://dunwoodyga.mycusthelp.com/WEBAPP/_rs/(S(fl4baido4ktt1, https://lawrencevillega.mycusthelp.com/WEBAPP/_rs/(S(vuwsvv10qxosobpfj31"
Group 8,https://fayettecountyga.gov/administration/open-records-request
Group 9,https://www.co.newton.ga.us/FormCenter/County-Clerk-5/Open-Records-Request-Form-47
Group 10,https://cityofcovington.org/corecode/uploads/document6/uploaded_pdfs/corecode/PZ_Open%20Rec
Group 11,https://www.cityofgriffin.com/services/open-records
